,,,Season Price & Arrival Report (2026-27),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Barley(Jau),2150.00,-,-,2053.20,207128.95
Cereals,Wheat,2585.00,-,-,2499.13,16037207.75
Oil Seeds,Copra,12100.00,-,-,22733.97,16590.95
Oil Seeds,Mustard,6200.00,-,-,6721.04,799517.36
Oil Seeds,Safflower,6540.00,-,-,7252.88,8480.99
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,-,5595.37,683638.69
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,-,8079.40,120612.57
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,7088.99,412474.92
Pulses,Lentil(Masur)(Whole),7000.00,-,-,7101.85,128835.18

