,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,300.00","2,650.00",Rs./Quintal,46.00,Metric Tonnes,31-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,600.00","2,900.00",Rs./Quintal,19.60,Metric Tonnes,31-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,21.40,Metric Tonnes,31-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,2.40,Metric Tonnes,30-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,19.80,Metric Tonnes,30-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","2,200.00","2,100.00",Rs./Quintal,22.40,Metric Tonnes,30-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,11.20,Metric Tonnes,29-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,15.40,Metric Tonnes,29-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,5.50,Metric Tonnes,28-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"1,800.00","2,500.00","2,150.00",Rs./Quintal,1.20,Metric Tonnes,28-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,300.00","2,650.00",Rs./Quintal,27.20,Metric Tonnes,28-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,18.20,Metric Tonnes,27-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","2,800.00","2,400.00",Rs./Quintal,0.20,Metric Tonnes,27-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,26.00,Metric Tonnes,27-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,100.00","2,550.00",Rs./Quintal,23.40,Metric Tonnes,27-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,13.80,Metric Tonnes,27-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,400.00","2,700.00",Rs./Quintal,50.00,Metric Tonnes,26-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"1,900.00","3,200.00","2,550.00",Rs./Quintal,9.00,Metric Tonnes,25-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,24.20,Metric Tonnes,25-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","2,500.00","2,350.00",Rs./Quintal,0.40,Metric Tonnes,24-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,300.00","2,650.00",Rs./Quintal,51.00,Metric Tonnes,24-03-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,400.00","2,750.00",Rs./Quintal,25.20,Metric Tonnes,23-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,500.00","2,750.00",Rs./Quintal,6.20,Metric Tonnes,23-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,300.00","2,700.00",Rs./Quintal,12.80,Metric Tonnes,23-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,100.00","3,500.00","2,800.00",Rs./Quintal,14.40,Metric Tonnes,22-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,0.40,Metric Tonnes,22-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,100.00","2,550.00",Rs./Quintal,13.40,Metric Tonnes,22-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","2,600.00","2,300.00",Rs./Quintal,3.60,Metric Tonnes,21-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","2,800.00","2,400.00",Rs./Quintal,15.20,Metric Tonnes,21-02-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,80.80,Metric Tonnes,21-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,300.00","3,800.00","3,050.00",Rs./Quintal,43.60,Metric Tonnes,20-08-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,200.00","3,500.00","2,850.00",Rs./Quintal,10.60,Metric Tonnes,20-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Jowar(Sorghum),Other,Local,"2,000.00","3,000.00","2,500.00",Rs./Quintal,24.20,Metric Tonnes,20-02-2026
