date,price
2023-08-22,1817.57
2023-08-23,1716.66
2023-08-24,1692.18
2023-08-25,1814.29
2023-08-26,1814.21
2023-08-27,1811.79
2023-08-28,1755.48
2023-08-29,1726.24
2023-08-30,1792.5
2023-08-31,1717.42
2023-09-01,2385.75
2023-09-02,2381.32
2023-09-03,2331.98
2023-09-04,2406.06
2023-09-05,2323.04
2023-09-06,2316.13
2023-09-07,2337.56
2023-09-08,2362.8
2023-09-09,2392.96
2023-09-10,2311.16
2023-09-11,2467.79
2023-09-12,2258.51
2023-09-13,2314.2
2023-09-14,2340.1
2023-09-15,2398.37
2023-09-16,2442.59
2023-09-17,2140.58
2023-09-18,2398.69
2023-09-19,2238.19
2023-09-20,2276.26
2023-09-21,2150.7
2023-09-22,2221.29
2023-09-23,2262.94
2023-09-24,2333.02
2023-09-25,2357.95
2023-09-26,2336.02
2023-09-27,2442.63
2023-09-28,2367.28
2023-09-29,2169.04
2023-09-30,2276.78
2023-10-01,964.14
2023-10-02,1092.03
2023-10-03,1034.53
2023-10-04,1139.59
2023-10-05,1030.92
2023-10-06,1211.72
2023-10-07,1023.42
2023-10-08,1077.5
2023-10-09,1108.51
2023-10-10,1105.04
2023-10-11,1003.57
2023-10-12,1119.49
2023-10-13,1067.41
2023-10-14,1210.39
2023-10-15,1067.35
2023-10-16,1096.4
2023-10-17,1193.45
2023-10-18,1070.01
2023-10-19,1121.59
2023-10-20,1014.08
2023-10-21,964.42
2023-10-22,985.24
2023-10-23,951.96
2023-10-24,1142.83
2023-10-25,1111.01
2023-10-26,989.66
2023-10-27,1136.49
2023-10-28,1065.74
2023-10-29,1089.14
2023-10-30,1119.94
2023-10-31,1105.77
2023-11-01,1065.17
2023-11-02,971.14
2023-11-03,1114.95
2023-11-04,1062.69
2023-11-05,1167.68
2023-11-06,1231.06
2023-11-07,1111.9
2023-11-08,1154.79
2023-11-09,1171.76
2023-11-10,954.13
2023-11-11,1065.74
2023-11-12,1078.65
2023-11-13,1050.41
2023-11-14,1125.46
2023-11-15,1109.99
2023-11-16,1059.77
2023-11-17,991.2
2023-11-18,1156.57
2023-11-19,1085.24
2023-11-20,1115.22
2023-11-21,1121.69
2023-11-22,1036.28
2023-11-23,1144.81
2023-11-24,1109.81
2023-11-25,1019.08
2023-11-26,1101.29
2023-11-27,957.76
2023-11-28,1176.53
2023-11-29,994.79
2023-11-30,1012.75
2023-12-01,1894.01
2023-12-02,1828.83
2023-12-03,1721.11
2023-12-04,1688.38
2023-12-05,1831.06
2023-12-06,1668.26
2023-12-07,1816.24
2023-12-08,1826.87
2023-12-09,1571.94
2023-12-10,1864.77
2023-12-11,1822.86
2023-12-12,1633.99
2023-12-13,1913.47
2023-12-14,1754.4
2023-12-15,1797.42
2023-12-16,1834.32
2023-12-17,1747.31
2023-12-18,1756.29
2023-12-19,1750.55
2023-12-20,1831.97
2023-12-21,1847.3
2023-12-22,1787.8
2023-12-23,1759.14
2023-12-24,1720.49
2023-12-25,1815.68
2023-12-26,1816.87
2023-12-27,1923.69
2023-12-28,1850.38
2023-12-29,1910.33
2023-12-30,1849.08
2023-12-31,1626.5
2024-01-01,1750.9
2024-01-02,1698.61
2024-01-03,1815.07
2024-01-04,1805.67
2024-01-05,1752.7
2024-01-06,1743.6
2024-01-07,1833.3
2024-01-08,1776.15
2024-01-09,1774.26
2024-01-10,1779.49
2024-01-11,1846.9
2024-01-12,1799.3
2024-01-13,1826.72
2024-01-14,1838.12
2024-01-15,1776.41
2024-01-16,1871.44
2024-01-17,1772.21
2024-01-18,1848.38
2024-01-19,1818.58
2024-01-20,1730.35
2024-01-21,1827.59
2024-01-22,1863.9
2024-01-23,1871.15
2024-01-24,1807.39
2024-01-25,1781.78
2024-01-26,1726.68
2024-01-27,1681.51
2024-01-28,1883.95
2024-01-29,1789.79
2024-01-30,1865.76
2024-01-31,2050.2
2024-02-01,1678.59
2024-02-02,1722.28
2024-02-03,1767.05
2024-02-04,1888.62
2024-02-05,1813.8
2024-02-06,1827.0
2024-02-07,1714.26
2024-02-08,1972.92
2024-02-09,1764.56
2024-02-10,1691.63
2024-02-11,1765.33
2024-02-12,1810.68
2024-02-13,1670.54
2024-02-14,1762.59
2024-02-15,1732.91
2024-02-16,1922.1
2024-02-17,1796.03
2024-02-18,1829.22
2024-02-19,1787.41
2024-02-20,1702.71
2024-02-21,1846.49
2024-02-22,1707.96
2024-02-23,1826.53
2024-02-24,1860.42
2024-02-25,1843.28
2024-02-26,1797.15
2024-02-27,1781.06
2024-02-28,1641.48
2024-02-29,1731.58
2024-03-01,1762.03
2024-03-02,1854.17
2024-03-03,1842.05
2024-03-04,1883.56
2024-03-05,1744.65
2024-03-06,1865.1
2024-03-07,1752.65
2024-03-08,1936.72
2024-03-09,1727.04
2024-03-10,1733.3
2024-03-11,1840.83
2024-03-12,1732.69
2024-03-13,1883.22
2024-03-14,1636.43
2024-03-15,1867.98
2024-03-16,1649.79
2024-03-17,1702.59
2024-03-18,1778.16
2024-03-19,1755.15
2024-03-20,1931.3
2024-03-21,1815.56
2024-03-22,1855.98
2024-03-23,1923.83
2024-03-24,1750.95
2024-03-25,2036.09
2024-03-26,1798.2
2024-03-27,1894.73
2024-03-28,1755.82
2024-03-29,1724.04
2024-03-30,1759.49
2024-03-31,1807.46
2024-04-01,1748.86
2024-04-02,1872.17
2024-04-03,1788.53
2024-04-04,1977.93
2024-04-05,1776.86
2024-04-06,1850.01
2024-04-07,1796.54
2024-04-08,1857.33
2024-04-09,1727.35
2024-04-10,1804.68
2024-04-11,1885.02
2024-04-12,1663.98
2024-04-13,1795.87
2024-04-14,1719.04
2024-04-15,1860.39
2024-04-16,1888.28
2024-04-17,1869.37
2024-04-18,1659.79
2024-04-19,1843.73
2024-04-20,1847.2
2024-04-21,1858.45
2024-04-22,1820.69
2024-04-23,1722.44
2024-04-24,1667.53
2024-04-25,1694.79
2024-04-26,1909.88
2024-04-27,1814.48
2024-04-28,1786.28
2024-04-29,1825.24
2024-04-30,1905.82
2024-05-01,1727.18
2024-05-02,1821.65
2024-05-03,1926.77
2024-05-04,1980.1
2024-05-05,1895.63
2024-05-06,1835.25
2024-05-07,1852.91
2024-05-08,1787.41
2024-05-09,1712.34
2024-05-10,1835.82
