date,price
2023-08-22,1032.48
2023-08-23,719.54
2023-08-24,604.11
2023-08-25,765.14
2023-08-26,927.8
2023-08-27,715.69
2023-08-28,737.62
2023-08-29,633.56
2023-08-30,492.03
2023-08-31,597.38
2023-09-01,1297.61
2023-09-02,1234.08
2023-09-03,1378.68
2023-09-04,1288.82
2023-09-05,1061.34
2023-09-06,1132.95
2023-09-07,1229.8
2023-09-08,1303.18
2023-09-09,1232.5
2023-09-10,1034.86
2023-09-11,1228.13
2023-09-12,1174.1
2023-09-13,1315.25
2023-09-14,1236.02
2023-09-15,954.31
2023-09-16,1121.73
2023-09-17,1189.12
2023-09-18,1147.8
2023-09-19,1262.01
2023-09-20,1232.26
2023-09-21,861.4
2023-09-22,1415.42
2023-09-23,1220.79
2023-09-24,1362.87
2023-09-25,1256.68
2023-09-26,1238.54
2023-09-27,1219.36
2023-09-28,1013.7
2023-09-29,1249.21
2023-09-30,1072.22
2023-10-01,904.77
2023-10-02,1194.16
2023-10-03,1196.31
2023-10-04,1105.21
2023-10-05,1326.07
2023-10-06,1226.64
2023-10-07,1307.49
2023-10-08,1266.44
2023-10-09,1253.96
2023-10-10,1164.13
2023-10-11,1240.56
2023-10-12,1369.69
2023-10-13,960.84
2023-10-14,1363.2
2023-10-15,1186.96
2023-10-16,1261.43
2023-10-17,1157.49
2023-10-18,1093.81
2023-10-19,1083.67
2023-10-20,1142.69
2023-10-21,1208.38
2023-10-22,1140.68
2023-10-23,1098.53
2023-10-24,1388.2
2023-10-25,1250.77
2023-10-26,1346.5
2023-10-27,1223.47
2023-10-28,1031.18
2023-10-29,1060.23
2023-10-30,1015.01
2023-10-31,938.47
2023-11-01,1191.27
2023-11-02,1198.79
2023-11-03,1230.19
2023-11-04,1296.67
2023-11-05,1080.69
2023-11-06,1244.09
2023-11-07,1275.22
2023-11-08,989.43
2023-11-09,1285.36
2023-11-10,1392.85
2023-11-11,1399.31
2023-11-12,1244.0
2023-11-13,1467.98
2023-11-14,1036.43
2023-11-15,1265.22
2023-11-16,1096.18
2023-11-17,1405.56
2023-11-18,1180.6
2023-11-19,1030.85
2023-11-20,1416.46
2023-11-21,1132.57
2023-11-22,1247.66
