date,price
2023-08-22,2272.8
2023-08-23,2310.84
2023-08-24,2351.36
2023-08-25,2351.26
2023-08-26,2255.47
2023-08-27,2353.2
2023-08-28,2271.31
2023-08-29,2368.75
2023-08-30,2398.73
2023-08-31,2233.41
2023-09-01,2351.54
2023-09-02,2400.49
2023-09-03,2317.57
2023-09-04,2321.51
2023-09-05,2340.2
2023-09-06,2257.44
2023-09-07,2252.07
2023-09-08,2345.03
2023-09-09,2223.44
2023-09-10,2294.61
2023-09-11,2340.93
2023-09-12,2318.83
2023-09-13,2332.39
2023-09-14,2386.84
2023-09-15,2352.63
2023-09-16,2235.88
2023-09-17,2219.31
2023-09-18,2373.68
2023-09-19,2305.07
2023-09-20,2425.33
2023-09-21,2330.49
2023-09-22,2302.51
2023-09-23,2330.11
2023-09-24,2273.04
2023-09-25,2313.44
2023-09-26,2286.78
2023-09-27,2249.11
2023-09-28,2285.62
2023-09-29,2313.23
2023-09-30,2291.09
2023-10-01,2352.77
2023-10-02,2266.13
2023-10-03,2360.29
2023-10-04,2288.93
2023-10-05,2324.6
2023-10-06,2305.93
2023-10-07,2175.87
2023-10-08,2319.31
2023-10-09,2220.71
2023-10-10,2207.76
2023-10-11,2254.26
2023-10-12,2309.43
2023-10-13,2397.69
2023-10-14,2249.34
2023-10-15,2260.96
2023-10-16,2320.22
2023-10-17,2225.89
2023-10-18,2381.73
2023-10-19,2364.58
2023-10-20,2265.28
2023-10-21,2292.23
2023-10-22,2340.83
2023-10-23,2203.92
2023-10-24,2335.15
2023-10-25,2289.57
2023-10-26,2334.63
2023-10-27,2243.52
2023-10-28,2267.38
2023-10-29,2339.61
2023-10-30,2295.29
2023-10-31,2272.04
2023-11-01,2325.65
2023-11-02,2238.9
2023-11-03,2266.45
2023-11-04,2257.07
2023-11-05,2275.67
2023-11-06,2308.66
2023-11-07,2251.21
2023-11-08,2248.15
2023-11-09,2293.68
2023-11-10,2320.2
2023-11-11,2327.48
2023-11-12,2334.71
2023-11-13,2340.51
2023-11-14,2292.45
2023-11-15,2307.94
2023-11-16,2229.64
2023-11-17,2337.36
2023-11-18,2315.44
2023-11-19,2313.46
2023-11-20,2295.1
2023-11-21,2326.37
2023-11-22,2206.38
2023-11-23,2241.72
2023-11-24,2279.72
2023-11-25,2311.57
2023-11-26,2364.19
2023-11-27,2310.51
2023-11-28,2279.47
2023-11-29,2272.06
2023-11-30,2287.67
2023-12-01,2311.74
2023-12-02,2274.9
