,,,,,,,Daily Price Arrival Report-07-11-2025 to 21-08-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,17.80,Metric Tonnes,31-12-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,800.00","2,700.00",Rs./Quintal,18.60,Metric Tonnes,31-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,700.00","2,650.00",Rs./Quintal,40.60,Metric Tonnes,30-07-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,500.00","2,550.00","2,525.00",Rs./Quintal,36.00,Metric Tonnes,30-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","3,000.00","2,800.00",Rs./Quintal,26.20,Metric Tonnes,30-01-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,28.80,Metric Tonnes,29-06-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,000.00","2,400.00","2,200.00",Rs./Quintal,30.20,Metric Tonnes,29-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,650.00","2,750.00","2,700.00",Rs./Quintal,12.00,Metric Tonnes,28-11-2025
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,Non-FAQ,"2,100.00","2,400.00","2,250.00",Rs./Quintal,32.00,Metric Tonnes,28-05-2026
Maharashtra,Ahilyanagar,Ahilyanagar APMC,Cereals,Wheat,Other,FAQ,"2,600.00","2,800.00","2,700.00",Rs./Quintal,18.60,Metric Tonnes,28-01-2026
